source,target,value
/mountains/nggallery/album/vertosan-val-daosta-italy,/travels/nggallery/ireland,1
/travels/nggallery/ireland,/xmlrpc.php,1
/xmlrpc.php,/Loreena,1
/Loreena,/wp-login.php,1
/wp-login.php,/wp-login.php,50
/wp-login.php,/wp-admin/,49
/wp-admin/,/wp-login.php?redirect_to=https%3A%2F%2Fwebsite.local.lan%2Fwp-admin%2F&reauth=1,48
/wp-login.php?redirect_to=https%3A%2F%2Fwebsite.local.lan%2Fwp-admin%2F&reauth=1,/xmlrpc.php,8
/xmlrpc.php,/xmlrpc.php,100
/xmlrpc.php,/wp-login.php,9
/xmlrpc.php,/index.php?rest_route=/wp/v2/users,1
/index.php?rest_route=/wp/v2/users,/index.php?author=3,1
/index.php?author=3,/index.php?author=1,1
/index.php?author=1,/index.php?author=2,1
/index.php?author=2,/,1
/,/xmlrpc.php,3
/xmlrpc.php,/Capercaillie/,2
/Capercaillie/,/,16
/,/Capercaillie/,9
/,/wp-content/gallery/the-presidents-of-the-united-states-of-america-20081026-palm-springs/thumbs/thumbs_f141384264-thumb.jpg,1
/wp-content/gallery/the-presidents-of-the-united-states-of-america-20081026-palm-springs/thumbs/thumbs_f141384264-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3183-raw__MG_3186.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3183-raw__MG_3186.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7790-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7790-thumb.jpg,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137371040-thumb.jpg,1
/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137371040-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1900-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1900-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4976-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4976-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_6252-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_6252-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8129-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8129-thumb.jpg,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137208136-thumb.jpg,1
/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137208136-thumb.jpg,/wp-content/gallery/konopiste-czech-republic/thumbs/thumbs_raw__MG_1025-thumb.jpg,1
/wp-content/gallery/konopiste-czech-republic/thumbs/thumbs_raw__MG_1025-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_0968-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_0968-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7867-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7867-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_2415-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_2415-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5962-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5962-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_lofoten.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_lofoten.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7763-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7763-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5969-thumb.jpg,1
